#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_5_hCoV-19/Pakistan/NIH-AHF-S19/2023|EPI_ISL_18242888|2023-08-26_hCoV-19/India/MH-ICMR-NIV-242745/2024|EPI_ISL_19351724|2024-07-08_X0	(0,405)	(20310,21363)	hCoV-19/Pakistan/NIH-AHF-S19/2023|EPI_ISL_18242888|2023-08-26	y	59	hCoV-19/India/MH-ICMR-NIV-242745/2024|EPI_ISL_19351724|2024-07-08	y	40	24	24	3
RECOMB_1_15_hCoV-19/Laos/LOMWRU-0463/2021|EPI_ISL_15656021|2021-12-21_hCoV-19/India/KA-nimh-3045/2020|EPI_ISL_515939|2020-04-22_X0	(0,210)	(14408,15324)	hCoV-19/Laos/LOMWRU-0463/2021|EPI_ISL_15656021|2021-12-21	y	29	hCoV-19/India/KA-nimh-3045/2020|EPI_ISL_515939|2020-04-22	y	19	12	12	3
RECOMB_1_15_hCoV-19/Laos/LOMWRU-0463/2021|EPI_ISL_15656021|2021-12-21_hCoV-19/India/KA-nimh-3045/2020|EPI_ISL_515939|2020-04-22_X0	(0,210)	(11332,15324)	hCoV-19/Laos/LOMWRU-0463/2021|EPI_ISL_15656021|2021-12-21	y	29	hCoV-19/India/KA-nimh-3045/2020|EPI_ISL_515939|2020-04-22	y	19	12	12	3
RECOMB_1_1_hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-475/2021|EPI_ISL_1704029|2021-02-27_hCoV-19/Japan/Tokyo-Showa-Pt-No.36/2021|EPI_ISL_1752623|2021-01-19_X0	(0,241)	(23403,24718)	hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-475/2021|EPI_ISL_1704029|2021-02-27	y	17	hCoV-19/Japan/Tokyo-Showa-Pt-No.36/2021|EPI_ISL_1752623|2021-01-19	y	19	16	16	3
RECOMB_1_1_hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-475/2021|EPI_ISL_1704029|2021-02-27_hCoV-19/Japan/Tokyo-Showa-Pt-No.36/2021|EPI_ISL_1752623|2021-01-19_X0	(0,241)	(22882,24718)	hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-475/2021|EPI_ISL_1704029|2021-02-27	y	17	hCoV-19/Japan/Tokyo-Showa-Pt-No.36/2021|EPI_ISL_1752623|2021-01-19	y	19	16	16	3
RECOMB_1_0_hCoV-19/Iran/AL256/2021|EPI_ISL_15755437|2021-11-13_hCoV-19/India/MH-ICMR-NIV-INSACOG-NIVHRV/22/61/2022|EPI_ISL_14861694|2022-07-27_X0	(0,210)	(14408,14925)	hCoV-19/Iran/AL256/2021|EPI_ISL_15755437|2021-11-13	y	69	hCoV-19/India/MH-ICMR-NIV-INSACOG-NIVHRV/22/61/2022|EPI_ISL_14861694|2022-07-27	y	27	18	18	3
RECOMB_1_18_hCoV-19/India/TN-CDFD-S-484/2022|EPI_ISL_15213781|2022-09-07_hCoV-19/Shanghai/SCDC-XG08-12560/2023|EPI_ISL_18208602|2023-08-22_X0	(0,593)	(25416,25584)	hCoV-19/India/TN-CDFD-S-484/2022|EPI_ISL_15213781|2022-09-07	y	35	hCoV-19/Shanghai/SCDC-XG08-12560/2023|EPI_ISL_18208602|2023-08-22	y	65	24	24	3
RECOMB_1_3_hCoV-19/Paraguay/433472/2022|EPI_ISL_13147950|2022-01-30_hCoV-19/India/KL-GENESCOV00174/2020|EPI_ISL_7213065|2020-12-06_X0	(17193,18877)	(28277,GENOME_SIZE)	hCoV-19/India/KL-GENESCOV00174/2020|EPI_ISL_7213065|2020-12-06	y	16	hCoV-19/Paraguay/433472/2022|EPI_ISL_13147950|2022-01-30	y	15	14	14	5
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(0,241)	(19955,20310)	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(0,241)	(20055,20178)	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(19326,20055)	(28723,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
