#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_2_hCoV-19/Guangdong/GDCDC_SZHG_1004/2023|EPI_ISL_18035655|2023-05-17_hCoV-19/Nepal/2097/2020|EPI_ISL_754068|2020-07-30_X0	(0,405)	(10449,11956)	hCoV-19/Guangdong/GDCDC_SZHG_1004/2023|EPI_ISL_18035655|2023-05-17	y	79	hCoV-19/Nepal/2097/2020|EPI_ISL_754068|2020-07-30	y	20	10	10	3
RECOMB_1_16_hCoV-19/India/CT-ILS-GS20714/2023|EPI_ISL_17730211|2023-04-17_hCoV-19/Hubei/HCDC-JZ3120/2023|EPI_ISL_18376476|2023-09-25_X0	(0,78)	(14856,15180)	hCoV-19/India/CT-ILS-GS20714/2023|EPI_ISL_17730211|2023-04-17	y	27	hCoV-19/Hubei/HCDC-JZ3120/2023|EPI_ISL_18376476|2023-09-25	y	21	18	18	2
RECOMB_1_15_hCoV-19/Liaoning/LNCDC-340-2/2024|EPI_ISL_19450566|2024-09-14_hCoV-19/India/OR-ILSGS00136/2020|EPI_ISL_1063823|2020-07-03_X0	(0,405)	(25584,26060)	hCoV-19/Liaoning/LNCDC-340-2/2024|EPI_ISL_19450566|2024-09-14	y	24	hCoV-19/India/OR-ILSGS00136/2020|EPI_ISL_1063823|2020-07-03	y	101	22	22	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28311,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28881,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28882,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28254,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28271,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_1_hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08_X0	(14408,15451)	(28883,GENOME_SIZE)	hCoV-19/Slovakia/KE-0206/2023|EPI_ISL_17988829|2023-04-08	y	19	hCoV-19/SouthKorea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	34	7	7	2
RECOMB_1_0_hCoV-19/Zhejiang/Zhoushan-302/2021|EPI_ISL_3611059|2021-04-24_hCoV-19/Ukraine/88761/2024|EPI_ISL_19555128|2024-09-23_X0	(0,210)	(20055,20104)	hCoV-19/Zhejiang/Zhoushan-302/2021|EPI_ISL_3611059|2021-04-24	y	97	hCoV-19/Ukraine/88761/2024|EPI_ISL_19555128|2024-09-23	y	45	17	17	3
RECOMB_1_18_hCoV-19/Malaysia/USM_MU_JKNK_M86_29477/2022|EPI_ISL_14685911|2022-07-27_hCoV-19/India/MP-AIIMS_B-ICMR-INSACOG-WGS-387/2022|EPI_ISL_12010817|2022-02-26_X0	(0,1627)	(23018,25416)	hCoV-19/Malaysia/USM_MU_JKNK_M86_29477/2022|EPI_ISL_14685911|2022-07-27	y	15	hCoV-19/India/MP-AIIMS_B-ICMR-INSACOG-WGS-387/2022|EPI_ISL_12010817|2022-02-26	y	11	9	9	2
RECOMB_1_7_hCoV-19/Greece/50309/2022|EPI_ISL_16538752|2022-12-21_hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25_X0	(0,241)	(13498,14408)	hCoV-19/Greece/50309/2022|EPI_ISL_16538752|2022-12-21	y	70	hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25	y	32	14	14	2
RECOMB_1_6_hCoV-19/Botswana/R63B15_BHP_121160946/2021|EPI_ISL_8608050|2021-12-28_hCoV-19/Xinjiang/XJCDCTC_150/2023|EPI_ISL_18324105|2023-08-12_X0	(0,241)	(19955,20055)	hCoV-19/Botswana/R63B15_BHP_121160946/2021|EPI_ISL_8608050|2021-12-28	y	53	hCoV-19/Xinjiang/XJCDCTC_150/2023|EPI_ISL_18324105|2023-08-12	y	40	14	14	3
RECOMB_1_6_hCoV-19/Botswana/R63B15_BHP_121160946/2021|EPI_ISL_8608050|2021-12-28_hCoV-19/Xinjiang/XJCDCTC_150/2023|EPI_ISL_18324105|2023-08-12_X0	(19326,19955)	(29510,GENOME_SIZE)	hCoV-19/Xinjiang/XJCDCTC_150/2023|EPI_ISL_18324105|2023-08-12	y	40	hCoV-19/Botswana/R63B15_BHP_121160946/2021|EPI_ISL_8608050|2021-12-28	y	53	14	14	3
RECOMB_1_11_hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26_X0	(0,313)	(9424,9836)	hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	86	hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26	y	15	14	14	2
RECOMB_1_11_hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26_X0	(0,313)	(9534,9836)	hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	86	hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26	y	15	14	14	2
RECOMB_1_11_hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13_hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26_X0	(0,313)	(9344,9836)	hCoV-19/South_Korea/KDCA125863/2022|EPI_ISL_15166150|2022-09-13	y	86	hCoV-19/Sichuan/LSCDC-ls1108-06/2024|EPI_ISL_19558409|2024-10-26	y	15	14	14	2
