#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_2_2_hCoV-19/Thailand/MTM_01_1228/2023|EPI_ISL_19112363|2023-12-18_hCoV-19/Pakistan/JRCGR_SCV-99_QTA-03/2021|EPI_ISL_2466732|2021-02-01_X0	(1807,1807)	(14408,15451)	hCoV-19/Pakistan/JRCGR_SCV-99_QTA-03/2021|EPI_ISL_2466732|2021-02-01	y	99	hCoV-19/Thailand/MTM_01_1228/2023|EPI_ISL_19112363|2023-12-18	y	24	15	15	3
RECOMB_2_16_hCoV-19/Yunnan/RLC52/2021|EPI_ISL_13005116|2021-03-31_hCoV-19/Yunnan/RLD138/2021|EPI_ISL_13008911|2021-10-17_X0	(8782,8986)	(22702,22917)	hCoV-19/Yunnan/RLD138/2021|EPI_ISL_13008911|2021-10-17	y	28	hCoV-19/Yunnan/RLC52/2021|EPI_ISL_13005116|2021-03-31	y	24	16	16	3
RECOMB_2_16_hCoV-19/Yunnan/RLC52/2021|EPI_ISL_13005116|2021-03-31_hCoV-19/Yunnan/RLD138/2021|EPI_ISL_13008911|2021-10-17_X0	(8782,8782)	(22702,22917)	hCoV-19/Yunnan/RLD138/2021|EPI_ISL_13008911|2021-10-17	y	28	hCoV-19/Yunnan/RLC52/2021|EPI_ISL_13005116|2021-03-31	y	24	16	16	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27259,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27384,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26577,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(25584,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26833,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26529,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27382,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26709,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
