#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_2_2_hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25_hCoV-19/Bangladesh/icddrb-12493/2023|EPI_ISL_17699543|2023-02-11_X0	(1367,2790)	(19326,19955)	hCoV-19/Bangladesh/icddrb-12493/2023|EPI_ISL_17699543|2023-02-11	y	67	hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25	y	31	4	4	1
RECOMB_2_16_hCoV-19/Bangladesh/IEDCR-9826366/2023|EPI_ISL_17837246|2023-03-28_hCoV-19/France/IDF-APHPSU_PSL-662312019902/2023|EPI_ISL_18961447|2023-12-07_X0	(897,3431)	(22034,22109)	hCoV-19/France/IDF-APHPSU_PSL-662312019902/2023|EPI_ISL_18961447|2023-12-07	y	42	hCoV-19/Bangladesh/IEDCR-9826366/2023|EPI_ISL_17837246|2023-03-28	y	33	16	16	1
RECOMB_2_15_hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3658/2022|EPI_ISL_11664722|2022-03-07_hCoV-19/Senegal/178571/2021|EPI_ISL_14598586|2021-02-14_X0	(4184,5040)	(25839,27259)	hCoV-19/Senegal/178571/2021|EPI_ISL_14598586|2021-02-14	y	13	hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3658/2022|EPI_ISL_11664722|2022-03-07	y	16	12	12	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23604,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23075,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23854,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23599,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23063,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23948,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(24424,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23055,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23403,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(24469,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23031,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
